ruta_id,ruta_nombre,personajes,etapa_vida,medio_transporte,waypoint_orden,waypoint_lugar,waypoint_tipo,latitud,longitud,dist_segmento_m,NAINr500m,NAINr1500m,NAINr5000m,NACHr500m,NACHr1500m,NACHr5000m,Ta_mean,UHI_mean
9,Ruta de Lourdes y Claude — Caminatas nocturnas,"Susana, Lourdes, Claude",Adulta,a_pie,1,Apartamento calle Zacatecas,origen,19.4164,-99.1567,2.2,1.74,2.07,2.15,1.05,1.18,1.2,26.47,0.8
9,Ruta de Lourdes y Claude — Caminatas nocturnas,"Susana, Lourdes, Claude",Adulta,a_pie,2,Calles desconocidas colonia Roma (noche),transito,19.4155,-99.163,43.3,1.87,1.89,2.03,1.02,1.18,1.18,26.63,0.84
9,Ruta de Lourdes y Claude — Caminatas nocturnas,"Susana, Lourdes, Claude",Adulta,a_pie,3,Casa/apartamento de Claude,destino,19.4145,-99.165,25.5,1.66,1.83,1.9,1.1,1.14,1.16,25.91,0.65
9,Ruta de Lourdes y Claude — Caminatas nocturnas,"Susana, Lourdes, Claude",Adulta,a_pie,4,Reunion politica (lugar desconocido),destino,19.413,-99.1605,29.4,1.83,1.97,2.01,1.16,1.25,1.25,25.88,0.64
10,Ruta del camion — Todos somos lo mismo,Susana,Todas,camion,1,Parada de camion (cualquiera),origen,19.4117,-99.1596,10.5,1.37,1.46,1.63,1.19,1.14,1.11,25.77,0.61
10,Ruta del camion — Todos somos lo mismo,Susana,Todas,camion,2,Interior del camion (espacio social),transito,19.412,-99.168,9.1,1.36,1.53,1.67,0.98,0.99,1.0,24.22,0.19
10,Ruta del camion — Todos somos lo mismo,Susana,Todas,camion,3,Destino (trabajo/casa/escuela),destino,19.38,-99.175,18.7,1.66,1.76,1.67,1.16,1.27,1.23,25.84,0.63
11,Ruta de Socorro — Europa y la fuga,Socorro,Adulta,"avion, autobus",1,Apartamento Col. Cuauhtemoc / Rio Po,origen,19.4302,-99.1685,0.0,1.73,1.58,1.61,1.17,1.14,1.14,25.8,0.62
11,Ruta de Socorro — Europa y la fuga,Socorro,Adulta,"avion, autobus",3,Regreso a CDMX,retorno,19.4326,-99.1332,80.0,1.62,2.04,1.88,1.09,1.23,1.19,28.23,1.27
11,Ruta de Socorro — Europa y la fuga,Socorro,Adulta,"avion, autobus",4,Terminal de autobuses,transporte,19.4429,-99.1197,14.6,1.66,1.89,1.84,0.98,1.15,1.04,27.7,1.13
12,Ruta de Ramiro — Cuernavaca y el parque,"Susana, Ramiro",Adulta,coche,1,Apartamento nuevo (Lourdes-Claude-Susana),origen,19.35,-99.175,52.5,1.53,1.3,1.3,1.17,1.23,1.16,24.88,0.37
